Added ON,Added By,ROOT CAUSE KEY WORD,PRODUCT,KEY
31-Dec-2022,service.almsind2@gmail.com,Expiratory valve membrane,MONNAL T60,MONNAL T60|Expiratory valve membrane
31-Dec-2022,service.almsind2@gmail.com,External power supply,MONNAL T60,MONNAL T60|External power supply
31-Dec-2022,service.almsind2@gmail.com,External power supply connector,MONNAL T60,MONNAL T60|External power supply connector
31-Dec-2022,service.almsind2@gmail.com,Flow sensor : expiratory,MONNAL T60,MONNAL T60|Flow sensor : expiratory
31-Dec-2022,service.almsind2@gmail.com,Flow sensor : inspiratory,MONNAL T60,MONNAL T60|Flow sensor : inspiratory
31-Dec-2022,service.almsind2@gmail.com,Flow sensor : O2,MONNAL T60,MONNAL T60|Flow sensor : O2
31-Dec-2022,service.almsind2@gmail.com,HMI encoder,MONNAL T60,MONNAL T60|HMI encoder
31-Dec-2022,service.almsind2@gmail.com,Hot wire sensor contact,MONNAL T60,MONNAL T60|Hot wire sensor contact
31-Dec-2022,service.almsind2@gmail.com,Hypertac nut,MONNAL T60,MONNAL T60|Hypertac nut
31-Dec-2022,service.almsind2@gmail.com,Inspiratory block,MONNAL T60,MONNAL T60|Inspiratory block
31-Dec-2022,service.almsind2@gmail.com,Inspiratory flow sensor and O2 cell strand,MONNAL T60,MONNAL T60|Inspiratory flow sensor and O2 cell strand
31-Dec-2022,service.almsind2@gmail.com,Interconnexion board,MONNAL T60,MONNAL T60|Interconnexion board
31-Dec-2022,service.almsind2@gmail.com,Internal battery,MONNAL T60,MONNAL T60|Internal battery
31-Dec-2022,service.almsind2@gmail.com,Knob,MONNAL T60,MONNAL T60|Knob
31-Dec-2022,service.almsind2@gmail.com,Lock assembly,MONNAL T60,MONNAL T60|Lock assembly
31-Dec-2022,service.almsind2@gmail.com,Lower housing,MONNAL T60,MONNAL T60|Lower housing
31-Dec-2022,service.almsind2@gmail.com,MAP leap seal,MONNAL T60,MONNAL T60|MAP leap seal
31-Dec-2022,service.almsind2@gmail.com,Micro board,MONNAL T60,MONNAL T60|Micro board
31-Dec-2022,service.almsind2@gmail.com,Mounting,MONNAL T60,MONNAL T60|Mounting
31-Dec-2022,service.almsind2@gmail.com,O2 Emboufix,MONNAL T60,MONNAL T60|O2 Emboufix
31-Dec-2022,service.almsind2@gmail.com,O2 flow sensor strand,MONNAL T60,MONNAL T60|O2 flow sensor strand
31-Dec-2022,service.almsind2@gmail.com,O2 HP inlet,MONNAL T60,MONNAL T60|O2 HP inlet
31-Dec-2022,service.almsind2@gmail.com,O2 LP inlet,MONNAL T60,MONNAL T60|O2 LP inlet
31-Dec-2022,service.almsind2@gmail.com,O2 mixer,MONNAL T60,MONNAL T60|O2 mixer
31-Dec-2022,service.almsind2@gmail.com,Patient circuit,MONNAL T60,MONNAL T60|Patient circuit
31-Dec-2022,service.almsind2@gmail.com,Patient interface,MONNAL T60,MONNAL T60|Patient interface
31-Dec-2022,service.almsind2@gmail.com,Power supply board,MONNAL T60,MONNAL T60|Power supply board
31-Dec-2022,service.almsind2@gmail.com,Power supply board : 12V,MONNAL T60,MONNAL T60|Power supply board : 12V
31-Dec-2022,service.almsind2@gmail.com,Power supply board : 26V,MONNAL T60,MONNAL T60|Power supply board : 26V
31-Dec-2022,service.almsind2@gmail.com,Pressure sensor : atmospheric,MONNAL T60,MONNAL T60|Pressure sensor : atmospheric
31-Dec-2022,service.almsind2@gmail.com,Pressure sensor : O2,MONNAL T60,MONNAL T60|Pressure sensor : O2
31-Dec-2022,service.almsind2@gmail.com,Pressure sensor : patient,MONNAL T60,MONNAL T60|Pressure sensor : patient
31-Dec-2022,service.almsind2@gmail.com,Pressure sensors cable harness,MONNAL T60,MONNAL T60|Pressure sensors cable harness
31-Dec-2022,service.almsind2@gmail.com,Removable battery,MONNAL T60,MONNAL T60|Removable battery
31-Dec-2022,service.almsind2@gmail.com,RGB ribbon cable,MONNAL T60,MONNAL T60|RGB ribbon cable
31-Dec-2022,service.almsind2@gmail.com,Safety valve holder,MONNAL T60,MONNAL T60|Safety valve holder
31-Dec-2022,service.almsind2@gmail.com,Screen,MONNAL T60,MONNAL T60|Screen
31-Dec-2022,service.almsind2@gmail.com,Screws,MONNAL T60,MONNAL T60|Screws
31-Dec-2022,service.almsind2@gmail.com,Soft : batteries management,MONNAL T60,MONNAL T60|Soft : batteries management
31-Dec-2022,service.almsind2@gmail.com,Soft : monitoring,MONNAL T60,MONNAL T60|Soft : monitoring
31-Dec-2022,service.almsind2@gmail.com,Soft : options,MONNAL T60,MONNAL T60|Soft : options
31-Dec-2022,service.almsind2@gmail.com,Soft : power supply management,MONNAL T60,MONNAL T60|Soft : power supply management
31-Dec-2022,service.almsind2@gmail.com,Soft : ventilation,MONNAL T60,MONNAL T60|Soft : ventilation
31-Dec-2022,service.almsind2@gmail.com,Soft : version update,MONNAL T60,MONNAL T60|Soft : version update
31-Dec-2022,service.almsind2@gmail.com,Software,MONNAL T60,MONNAL T60|Software
31-Dec-2022,service.almsind2@gmail.com,Software bug,MONNAL T60,MONNAL T60|Software bug
31-Dec-2022,service.almsind2@gmail.com,Speaker,MONNAL T60,MONNAL T60|Speaker
31-Dec-2022,service.almsind2@gmail.com,Start cable harness,MONNAL T60,MONNAL T60|Start cable harness
31-Dec-2022,service.almsind2@gmail.com,SV : O2,MONNAL T60,MONNAL T60|SV : O2
31-Dec-2022,service.almsind2@gmail.com,SV : PEEP,MONNAL T60,MONNAL T60|SV : PEEP
31-Dec-2022,service.almsind2@gmail.com,SV : Safety,MONNAL T60,MONNAL T60|SV : Safety
31-Dec-2022,service.almsind2@gmail.com,SV O2 : assembly,MONNAL T60,MONNAL T60|SV O2 : assembly
31-Dec-2022,service.almsind2@gmail.com,Temperature cable harness,MONNAL T60,MONNAL T60|Temperature cable harness
31-Dec-2022,service.almsind2@gmail.com,Touch screen,MONNAL T60,MONNAL T60|Touch screen
31-Dec-2022,service.almsind2@gmail.com,Turbine,MONNAL T60,MONNAL T60|Turbine
31-Dec-2022,service.almsind2@gmail.com,Turbine : cable harness,MONNAL T60,MONNAL T60|Turbine : cable harness
31-Dec-2022,service.almsind2@gmail.com,Universal support,MONNAL T60,MONNAL T60|Universal support
31-Dec-2022,service.almsind2@gmail.com,Upper housing,MONNAL T60,MONNAL T60|Upper housing
31-Dec-2022,service.almsind2@gmail.com,User,MONNAL T60,MONNAL T60|User
31-Dec-2022,service.almsind2@gmail.com,Valve : O2 LP,MONNAL T60,MONNAL T60|Valve : O2 LP
31-Dec-2022,service.almsind2@gmail.com,Valve : patient safety,MONNAL T60,MONNAL T60|Valve : patient safety
31-Dec-2022,service.almsind2@gmail.com,Wall mounted station,MONNAL T60,MONNAL T60|Wall mounted station
31-Dec-2022,service.almsind2@gmail.com,Ambiant air filter,MONNAL T75,MONNAL T75|Ambiant air filter
31-Dec-2022,service.almsind2@gmail.com,Articulated Arm,MONNAL T75,MONNAL T75|Articulated Arm
31-Dec-2022,service.almsind2@gmail.com,Assembly,MONNAL T75,MONNAL T75|Assembly
31-Dec-2022,service.almsind2@gmail.com,Automatic tests,MONNAL T75,MONNAL T75|Automatic tests
31-Dec-2022,service.almsind2@gmail.com,Battery,MONNAL T75,MONNAL T75|Battery
31-Dec-2022,service.almsind2@gmail.com,Blower,MONNAL T75,MONNAL T75|Blower
31-Dec-2022,service.almsind2@gmail.com,Blower flow sensor,MONNAL T75,MONNAL T75|Blower flow sensor
31-Dec-2022,service.almsind2@gmail.com,Bronze filter,MONNAL T75,MONNAL T75|Bronze filter
31-Dec-2022,service.almsind2@gmail.com,Buzzer,MONNAL T75,MONNAL T75|Buzzer
31-Dec-2022,service.almsind2@gmail.com,Calibration,MONNAL T75,MONNAL T75|Calibration
31-Dec-2022,service.almsind2@gmail.com,Central bloc,MONNAL T75,MONNAL T75|Central bloc
31-Dec-2022,service.almsind2@gmail.com,Connection,MONNAL T75,MONNAL T75|Connection
31-Dec-2022,service.almsind2@gmail.com,Cooling fan,MONNAL T75,MONNAL T75|Cooling fan
31-Dec-2022,service.almsind2@gmail.com,Cover,MONNAL T75,MONNAL T75|Cover
31-Dec-2022,service.almsind2@gmail.com,Draining solenoid valve,MONNAL T75,MONNAL T75|Draining solenoid valve
31-Dec-2022,service.almsind2@gmail.com,Emboufix O2,MONNAL T75,MONNAL T75|Emboufix O2
31-Dec-2022,service.almsind2@gmail.com,Expiratory valve,MONNAL T75,MONNAL T75|Expiratory valve
31-Dec-2022,service.almsind2@gmail.com,Expiratory flow sensor,MONNAL T75,MONNAL T75|Expiratory flow sensor
31-Dec-2022,service.almsind2@gmail.com,Expiratory gold contact,MONNAL T75,MONNAL T75|Expiratory gold contact
31-Dec-2022,service.almsind2@gmail.com,Expiratory membrane,MONNAL T75,MONNAL T75|Expiratory membrane
31-Dec-2022,service.almsind2@gmail.com,Expiratory O-Ring,MONNAL T75,MONNAL T75|Expiratory O-Ring
31-Dec-2022,service.almsind2@gmail.com,Expiratory proportionnal solenoid valve,MONNAL T75,MONNAL T75|Expiratory proportionnal solenoid valve
31-Dec-2022,service.almsind2@gmail.com,External power connector,MONNAL T75,MONNAL T75|External power connector
31-Dec-2022,service.almsind2@gmail.com,Failure assembly,MONNAL T75,MONNAL T75|Failure assembly
31-Dec-2022,service.almsind2@gmail.com,Filter card,MONNAL T75,MONNAL T75|Filter card
31-Dec-2022,service.almsind2@gmail.com,Filtrabloc,MONNAL T75,MONNAL T75|Filtrabloc
31-Dec-2022,service.almsind2@gmail.com,FiO2 cell,MONNAL T75,MONNAL T75|FiO2 cell
31-Dec-2022,service.almsind2@gmail.com,FiO2 hatich assembly,MONNAL T75,MONNAL T75|FiO2 hatich assembly
31-Dec-2022,service.almsind2@gmail.com,Flow calibration,MONNAL T75,MONNAL T75|Flow calibration
31-Dec-2022,service.almsind2@gmail.com,Flow outside tolerance,MONNAL T75,MONNAL T75|Flow outside tolerance
31-Dec-2022,service.almsind2@gmail.com,Flow sensor,MONNAL T75,MONNAL T75|Flow sensor
31-Dec-2022,service.almsind2@gmail.com,Frame,MONNAL T75,MONNAL T75|Frame
31-Dec-2022,service.almsind2@gmail.com,Fuse,MONNAL T75,MONNAL T75|Fuse
31-Dec-2022,service.almsind2@gmail.com,Global Check,MONNAL T75,MONNAL T75|Global Check
31-Dec-2022,service.almsind2@gmail.com,HEPA Filter,MONNAL T75,MONNAL T75|HEPA Filter
31-Dec-2022,service.almsind2@gmail.com,Hidden,MONNAL T75,MONNAL T75|Hidden
31-Dec-2022,service.almsind2@gmail.com,HP O2 connection,MONNAL T75,MONNAL T75|HP O2 connection
31-Dec-2022,service.almsind2@gmail.com,Inlet/Outlet foam filter,MONNAL T75,MONNAL T75|Inlet/Outlet foam filter
31-Dec-2022,service.almsind2@gmail.com,Inspiratory bloc,MONNAL T75,MONNAL T75|Inspiratory bloc
31-Dec-2022,service.almsind2@gmail.com,Inspiratory flow sensor,MONNAL T75,MONNAL T75|Inspiratory flow sensor
31-Dec-2022,service.almsind2@gmail.com,Inspiratory proportionnal solenoid valve,MONNAL T75,MONNAL T75|Inspiratory proportionnal solenoid valve
31-Dec-2022,service.almsind2@gmail.com,LCD Screen,MONNAL T75,MONNAL T75|LCD Screen
31-Dec-2022,service.almsind2@gmail.com,Leaks,MONNAL T75,MONNAL T75|Leaks
31-Dec-2022,service.almsind2@gmail.com,Lithium battery (backup),MONNAL T75,MONNAL T75|Lithium battery (backup)
31-Dec-2022,service.almsind2@gmail.com,Lockbolt,MONNAL T75,MONNAL T75|Lockbolt
31-Dec-2022,service.almsind2@gmail.com,Loud speaker,MONNAL T75,MONNAL T75|Loud speaker
31-Dec-2022,service.almsind2@gmail.com,LP O2 connection,MONNAL T75,MONNAL T75|LP O2 connection
31-Dec-2022,service.almsind2@gmail.com,Microprocessor board,MONNAL T75,MONNAL T75|Microprocessor board
31-Dec-2022,service.almsind2@gmail.com,Mixer bloc,MONNAL T75,MONNAL T75|Mixer bloc
31-Dec-2022,service.almsind2@gmail.com,MMI board,MONNAL T75,MONNAL T75|MMI board
31-Dec-2022,service.almsind2@gmail.com,MMI cover,MONNAL T75,MONNAL T75|MMI cover
31-Dec-2022,service.almsind2@gmail.com,MMI encoder,MONNAL T75,MONNAL T75|MMI encoder
31-Dec-2022,service.almsind2@gmail.com,Monna T75 Dial,MONNAL T75,MONNAL T75|Monna T75 Dial
31-Dec-2022,service.almsind2@gmail.com,Nébulization pressur reducer,MONNAL T75,MONNAL T75|Nébulization pressur reducer
31-Dec-2022,service.almsind2@gmail.com,Nebulization solenoid valve,MONNAL T75,MONNAL T75|Nebulization solenoid valve
31-Dec-2022,service.almsind2@gmail.com,No failure found,MONNAL T75,MONNAL T75|No failure found
31-Dec-2022,service.almsind2@gmail.com,Non return valve,MONNAL T75,MONNAL T75|Non return valve
31-Dec-2022,service.almsind2@gmail.com,O2 bloc,MONNAL T75,MONNAL T75|O2 bloc
31-Dec-2022,service.almsind2@gmail.com,O2 pressure sensor,MONNAL T75,MONNAL T75|O2 pressure sensor
31-Dec-2022,service.almsind2@gmail.com,O2 solenoid valve,MONNAL T75,MONNAL T75|O2 solenoid valve
31-Dec-2022,service.almsind2@gmail.com,O2 valve,MONNAL T75,MONNAL T75|O2 valve
31-Dec-2022,service.almsind2@gmail.com,On/OFF bouton,MONNAL T75,MONNAL T75|On/OFF bouton
31-Dec-2022,service.almsind2@gmail.com,Other,MONNAL T75,MONNAL T75|Other
31-Dec-2022,service.almsind2@gmail.com,Oxygene flow sensor,MONNAL T75,MONNAL T75|Oxygene flow sensor
31-Dec-2022,service.almsind2@gmail.com,Patient circuit,MONNAL T75,MONNAL T75|Patient circuit
31-Dec-2022,service.almsind2@gmail.com,Patient interface,MONNAL T75,MONNAL T75|Patient interface
31-Dec-2022,service.almsind2@gmail.com,Patient interface cover,MONNAL T75,MONNAL T75|Patient interface cover
31-Dec-2022,service.almsind2@gmail.com,Patient pressure sensor,MONNAL T75,MONNAL T75|Patient pressure sensor
31-Dec-2022,service.almsind2@gmail.com,Solenoid valve of PEEP,MONNAL T75,MONNAL T75|Solenoid valve of PEEP
31-Dec-2022,service.almsind2@gmail.com,Power supply board,MONNAL T75,MONNAL T75|Power supply board
31-Dec-2022,service.almsind2@gmail.com,Power supply board cooling fan,MONNAL T75,MONNAL T75|Power supply board cooling fan
31-Dec-2022,service.almsind2@gmail.com,Pressure calibration,MONNAL T75,MONNAL T75|Pressure calibration
31-Dec-2022,service.almsind2@gmail.com,Pressure sensor,MONNAL T75,MONNAL T75|Pressure sensor
31-Dec-2022,service.almsind2@gmail.com,Rear cover,MONNAL T75,MONNAL T75|Rear cover
31-Dec-2022,service.almsind2@gmail.com,Safety patient valve,MONNAL T75,MONNAL T75|Safety patient valve
31-Dec-2022,service.almsind2@gmail.com,Safety solenoid valve,MONNAL T75,MONNAL T75|Safety solenoid valve
31-Dec-2022,service.almsind2@gmail.com,Shavings,MONNAL T75,MONNAL T75|Shavings
31-Dec-2022,service.almsind2@gmail.com,Silent filter,MONNAL T75,MONNAL T75|Silent filter
31-Dec-2022,service.almsind2@gmail.com,Software,MONNAL T75,MONNAL T75|Software
31-Dec-2022,service.almsind2@gmail.com,Software,MONNAL T75,MONNAL T75|Software
31-Dec-2022,service.almsind2@gmail.com,Software : curves,MONNAL T75,MONNAL T75|Software : curves
31-Dec-2022,service.almsind2@gmail.com,Software : installation,MONNAL T75,MONNAL T75|Software : installation
31-Dec-2022,service.almsind2@gmail.com,Software : power supply,MONNAL T75,MONNAL T75|Software : power supply
31-Dec-2022,service.almsind2@gmail.com,Software : upgrade,MONNAL T75,MONNAL T75|Software : upgrade
31-Dec-2022,service.almsind2@gmail.com,Software : ventilation,MONNAL T75,MONNAL T75|Software : ventilation
31-Dec-2022,service.almsind2@gmail.com,Solenoid valve unit,MONNAL T75,MONNAL T75|Solenoid valve unit
31-Dec-2022,service.almsind2@gmail.com,SpO2 sensor,MONNAL T75,MONNAL T75|SpO2 sensor
31-Dec-2022,service.almsind2@gmail.com,Strip lock block T75,MONNAL T75,MONNAL T75|Strip lock block T75
31-Dec-2022,service.almsind2@gmail.com,Temperature probe,MONNAL T75,MONNAL T75|Temperature probe
31-Dec-2022,service.almsind2@gmail.com,To define,MONNAL T75,MONNAL T75|To define
31-Dec-2022,service.almsind2@gmail.com,Touchescreen backlight,MONNAL T75,MONNAL T75|Touchescreen backlight
31-Dec-2022,service.almsind2@gmail.com,Touchscreen,MONNAL T75,MONNAL T75|Touchscreen
31-Dec-2022,service.almsind2@gmail.com,Undetermined,MONNAL T75,MONNAL T75|Undetermined
31-Dec-2022,service.almsind2@gmail.com,Uprgade failure,MONNAL T75,MONNAL T75|Uprgade failure
31-Dec-2022,service.almsind2@gmail.com,User,MONNAL T75,MONNAL T75|User
31-Dec-2022,service.almsind2@gmail.com,Utilisation,MONNAL T75,MONNAL T75|Utilisation
31-Dec-2022,service.almsind2@gmail.com,Water penetration,MONNAL T75,MONNAL T75|Water penetration
31-Dec-2022,service.almsind2@gmail.com,0.3 RESTRICTOR,COMM,COMM|0.3 RESTRICTOR
31-Dec-2022,service.almsind2@gmail.com,0.5 BAR REGULATOR,COMM,COMM|0.5 BAR REGULATOR
31-Dec-2022,service.almsind2@gmail.com,1.5 BAR PRESSURE REGULATOR,COMM,COMM|1.5 BAR PRESSURE REGULATOR
31-Dec-2022,service.almsind2@gmail.com,10.4 INCH DISPLAY,COMM,COMM|10.4 INCH DISPLAY
31-Dec-2022,service.almsind2@gmail.com,1GB COMPACT FLASH CARD,COMM,COMM|1GB COMPACT FLASH CARD
31-Dec-2022,service.almsind2@gmail.com,20 PIN FRC CABLE,COMM,COMM|20 PIN FRC CABLE
31-Dec-2022,service.almsind2@gmail.com,4 WAY CONNECTOR,COMM,COMM|4 WAY CONNECTOR
31-Dec-2022,service.almsind2@gmail.com,40 PIN FRC CABLE,COMM,COMM|40 PIN FRC CABLE
31-Dec-2022,service.almsind2@gmail.com,5 MICRON FILTER,COMM,COMM|5 MICRON FILTER
31-Dec-2022,service.almsind2@gmail.com,6-PIN CONNECTOR,COMM,COMM|6-PIN CONNECTOR
31-Dec-2022,service.almsind2@gmail.com,7 BAR SAFETY VALVE,COMM,COMM|7 BAR SAFETY VALVE
31-Dec-2022,service.almsind2@gmail.com,8 MM OD,COMM,COMM|8 MM OD
31-Dec-2022,service.almsind2@gmail.com,AC POWER INDICATOR LEAD,COMM,COMM|AC POWER INDICATOR LEAD
31-Dec-2022,service.almsind2@gmail.com,ACCESSORIES ISSUE,COMM,COMM|ACCESSORIES ISSUE
31-Dec-2022,service.almsind2@gmail.com,AIR & O2 INLET FILTER,COMM,COMM|AIR & O2 INLET FILTER
31-Dec-2022,service.almsind2@gmail.com,AIR & O2 REGULATOR ASSEMBLY,COMM,COMM|AIR & O2 REGULATOR ASSEMBLY
31-Dec-2022,service.almsind2@gmail.com,AIR FILTER BLOCK,COMM,COMM|AIR FILTER BLOCK
31-Dec-2022,service.almsind2@gmail.com,AIR HOSE TUBE,COMM,COMM|AIR HOSE TUBE
31-Dec-2022,service.almsind2@gmail.com,AIR INLET BODY,COMM,COMM|AIR INLET BODY
31-Dec-2022,service.almsind2@gmail.com,AMBIANT AIR FILTER,COMM,COMM|AMBIANT AIR FILTER
31-Dec-2022,service.almsind2@gmail.com,AMBIENT AIR INTAKE ASSEMBLY,COMM,COMM|AMBIENT AIR INTAKE ASSEMBLY
31-Dec-2022,service.almsind2@gmail.com,ARM SET,COMM,COMM|ARM SET
31-Dec-2022,service.almsind2@gmail.com,ARTICULATED ARM,COMM,COMM|ARTICULATED ARM
31-Dec-2022,service.almsind2@gmail.com,ASU RELIEF VALVE,COMM,COMM|ASU RELIEF VALVE
31-Dec-2022,service.almsind2@gmail.com,ATMOSPHERIC PRESSURE SENSOR,COMM,COMM|ATMOSPHERIC PRESSURE SENSOR
31-Dec-2022,service.almsind2@gmail.com,AUTO DRAIN ASSEMBLY,COMM,COMM|AUTO DRAIN ASSEMBLY
31-Dec-2022,service.almsind2@gmail.com,AUTOMATIC TESTS,COMM,COMM|AUTOMATIC TESTS
31-Dec-2022,service.almsind2@gmail.com,BACK COVER,COMM,COMM|BACK COVER
31-Dec-2022,service.almsind2@gmail.com,BACKLIGHT STRAND,COMM,COMM|BACKLIGHT STRAND
31-Dec-2022,service.almsind2@gmail.com,BACKUP BATTERY,COMM,COMM|BACKUP BATTERY
31-Dec-2022,service.almsind2@gmail.com,BATTERY,COMM,COMM|BATTERY
31-Dec-2022,service.almsind2@gmail.com,BATTERY - 12V,COMM,COMM|BATTERY - 12V
31-Dec-2022,service.almsind2@gmail.com,BATTERY - 3.6V,COMM,COMM|BATTERY - 3.6V
31-Dec-2022,service.almsind2@gmail.com,BATTERY - 9.6V,COMM,COMM|BATTERY - 9.6V
31-Dec-2022,service.almsind2@gmail.com,BATTERY BOARD,COMM,COMM|BATTERY BOARD
31-Dec-2022,service.almsind2@gmail.com,BATTERY CABLE,COMM,COMM|BATTERY CABLE
31-Dec-2022,service.almsind2@gmail.com,BATTERY CONNECTOR LOOSE CONTACT,COMM,COMM|BATTERY CONNECTOR LOOSE CONTACT
31-Dec-2022,service.almsind2@gmail.com,BATTERY TEST,COMM,COMM|BATTERY TEST
31-Dec-2022,service.almsind2@gmail.com,BELLOW WITH JAR,COMM,COMM|BELLOW WITH JAR
31-Dec-2022,service.almsind2@gmail.com,BLOCK (OTHER),COMM,COMM|BLOCK (OTHER)
31-Dec-2022,service.almsind2@gmail.com,BLOWER,COMM,COMM|BLOWER
31-Dec-2022,service.almsind2@gmail.com,BLOWER BOARD,COMM,COMM|BLOWER BOARD
31-Dec-2022,service.almsind2@gmail.com,BLOWER FLOW SENSOR,COMM,COMM|BLOWER FLOW SENSOR
31-Dec-2022,service.almsind2@gmail.com,BLOWER TEMPERATURE PROBE,COMM,COMM|BLOWER TEMPERATURE PROBE
31-Dec-2022,service.almsind2@gmail.com,BLOWER VALVE,COMM,COMM|BLOWER VALVE
31-Dec-2022,service.almsind2@gmail.com,BOLT LOCK,COMM,COMM|BOLT LOCK
31-Dec-2022,service.almsind2@gmail.com,BRACKET,COMM,COMM|BRACKET
31-Dec-2022,service.almsind2@gmail.com,BRIDGE SOLENOID VALVE,COMM,COMM|BRIDGE SOLENOID VALVE
31-Dec-2022,service.almsind2@gmail.com,BUZZER,COMM,COMM|BUZZER
31-Dec-2022,service.almsind2@gmail.com,CABINET,COMM,COMM|CABINET
31-Dec-2022,service.almsind2@gmail.com,CABLE KIT,COMM,COMM|CABLE KIT
31-Dec-2022,service.almsind2@gmail.com,CALIBRATION,COMM,COMM|CALIBRATION
31-Dec-2022,service.almsind2@gmail.com,CAPACITOR,COMM,COMM|CAPACITOR
31-Dec-2022,service.almsind2@gmail.com,CAPACITY TANK,COMM,COMM|CAPACITY TANK
31-Dec-2022,service.almsind2@gmail.com,CARRY BAG,COMM,COMM|CARRY BAG
31-Dec-2022,service.almsind2@gmail.com,CELL O2,COMM,COMM|CELL O2
31-Dec-2022,service.almsind2@gmail.com,CENTRAL BLOCK,COMM,COMM|CENTRAL BLOCK
31-Dec-2022,service.almsind2@gmail.com,CF BOARD,COMM,COMM|CF BOARD
31-Dec-2022,service.almsind2@gmail.com,CHECK VALVE,COMM,COMM|CHECK VALVE
31-Dec-2022,service.almsind2@gmail.com,CO2 PROBE,COMM,COMM|CO2 PROBE
31-Dec-2022,service.almsind2@gmail.com,COMPRESSOR,COMM,COMM|COMPRESSOR
31-Dec-2022,service.almsind2@gmail.com,COMPRESSOR CAPACITOR,COMM,COMM|COMPRESSOR CAPACITOR
31-Dec-2022,service.almsind2@gmail.com,COMPRESSOR SPRING,COMM,COMM|COMPRESSOR SPRING
31-Dec-2022,service.almsind2@gmail.com,CONNECTION,COMM,COMM|CONNECTION
31-Dec-2022,service.almsind2@gmail.com,CONNECTOR,COMM,COMM|CONNECTOR
31-Dec-2022,service.almsind2@gmail.com,CONNEXION BOARD FOR WALL MOUNTED STATION,COMM,COMM|CONNEXION BOARD FOR WALL MOUNTED STATION
31-Dec-2022,service.almsind2@gmail.com,CONSOLE BOARD,COMM,COMM|CONSOLE BOARD
31-Dec-2022,service.almsind2@gmail.com,CONTACT ISSUE,COMM,COMM|CONTACT ISSUE
31-Dec-2022,service.almsind2@gmail.com,CONTROL BOARD,COMM,COMM|CONTROL BOARD
31-Dec-2022,service.almsind2@gmail.com,COOLING FAN,COMM,COMM|COOLING FAN
31-Dec-2022,service.almsind2@gmail.com,COOLING FAN (POWER SUPPLY),COMM,COMM|COOLING FAN (POWER SUPPLY)
31-Dec-2022,service.almsind2@gmail.com,COVER,COMM,COMM|COVER
31-Dec-2022,service.almsind2@gmail.com,CUSTOMER,COMM,COMM|CUSTOMER
31-Dec-2022,service.almsind2@gmail.com,DAUGHTER BOARD,COMM,COMM|DAUGHTER BOARD
31-Dec-2022,service.almsind2@gmail.com,DC INPUT CABLE HARNESS,COMM,COMM|DC INPUT CABLE HARNESS
31-Dec-2022,service.almsind2@gmail.com,DELTRIN PART,COMM,COMM|DELTRIN PART
31-Dec-2022,service.almsind2@gmail.com,DISINFECTION,COMM,COMM|DISINFECTION
31-Dec-2022,service.almsind2@gmail.com,DISPLAY BOARD,COMM,COMM|DISPLAY BOARD
31-Dec-2022,service.almsind2@gmail.com,DISPLAY CABLE,COMM,COMM|DISPLAY CABLE
31-Dec-2022,service.almsind2@gmail.com,DISPLAY CALIBRATION,COMM,COMM|DISPLAY CALIBRATION
31-Dec-2022,service.almsind2@gmail.com,DISPLAY CONNECTOR,COMM,COMM|DISPLAY CONNECTOR
31-Dec-2022,service.almsind2@gmail.com,DOCK,COMM,COMM|DOCK
31-Dec-2022,service.almsind2@gmail.com,DP SENSOR,COMM,COMM|DP SENSOR
